Subject,Column,Sub-Subject,Column 2
traffic,POBJ,percent,NSUBJ
churn,NN,,
churn,NN,rate,DOBJ
conversion,NN,rate,NSUBJ
conversion,NN,rate,DOBJ
conversion,NN,frequency,DOBJ
conversion,DOBJ,pageviews,POBJ
conversion,ROOT,payment,NN
perform,ROOT,,
perform,ROOT,term,NSUBJ
segment,NSUBJ,D&D,NN
subscriber,NSUBJ,,
subscriber,NSUBJPASS,retain,CCOMP
convert,ROOT,,
term,NSUBJ,,
adblocker,POBJ,,
adblock,POBJ,pageview,NSUBJ
tablet,POBJ,,
mobile,POBJ,,
paywall,POBJ,,
user,NSUBJ,paywall,POBJ
user,POBJ,list,DOBJ
pageview,POBJ,average,AMOD
visit,ROOT,when,ADVMOD
subscribe,VMOD,likelihood,DOBJ
vary,ROOT,traffic,NSUBJ
adblock,POBJ,revenue,NSUBJ
churn,VMOD,likelihood,NSUBJ
retention,NN,rate,DOBJ
audience,DOBJ,,
exposure,NN,rate,NSUBJ
before,MARK,convert,ADVCL
top,AMOD,month,NSUBJ
convert,XCOMP,,
conversion,DOBJ,,
subscriber,POBJ,,
subscriber,POBJ,behavior,DOBJ
new,AMOD,subscriber,DOBJ
pageview,NN,behavior,DOBJ
retention,DOBJ,,
convert,AMOD,user,POBJ
mobile,AMOD,user,POBJ
time,POBJ,day,POBJ
local,AMOD,news,NN
